street	city	price	sqms	sqmp	rooms	dos	qos	yoc	lon	lat
Bistrupgårdsvej 25	3460 Birkerød	38e5	127	29921	5	2015-07-08	2015.3	1957-01-01	12.439412	55.82705499999999
Ellebakken 31	3460 Birkerød	5725e3	282	20301	6	2015-07-08	2015.3	1963-01-01	12.434229	55.822803
Lærkebakken 24	3460 Birkerød	475e4	166	28614	5	2015-07-02	2015.3	1963-01-01	12.431031	55.82040199999999
Grøndalsvænge 8	3460 Birkerød	54e5	179	30168	6	2015-07-02	2015.3	1970-01-01	12.4290063	55.858776
Carl Plougs Vej 39	3460 Birkerød	8175e3	205	39878	5	2015-07-02	2015.3	1974-01-01	12.457161	55.863591
Steen Blichers Vej 14	3460 Birkerød	432e4	171	25263	4	2015-06-29	2015.2	1973-01-01	12.461024	55.86137
Langkærgårdsvej 54	3460 Birkerød	435e4	135	32222	4	2015-06-26	2015.2	1967-01-01	12.432938	55.821571
Abildgårdsparken 20	3460 Birkerød	37e5	125	29600	5	2015-06-26	2015.2	1967-01-01	12.421181	55.825352
Skovgårdsvej 6	3460 Birkerød	4225e3	116	36422	4	2015-06-25	2015.2	1936-01-01	12.429069	55.834393
Birkevej 7A	3460 Birkerød	51e5	199	25628	5	2015-06-22	2015.2	1987-01-01	12.4302786	55.8440625
P M Møllers Vej 14	3460 Birkerød	405e4	136	29779	6	2015-06-19	2015.2	1966-01-01	12.455689	55.862863
Morelgangen 15	3460 Birkerød	3325e3	140	23750	5	2015-06-17	2015.2	1972-01-01	12.4244634	55.8210112
Henrik Gerners Vej 8	3460 Birkerød	4e6	215	18605	8	2015-06-16	2015.2	1731-01-01	12.428848	55.840963
Stenløkken 102	3460 Birkerød	34e5	151	22517	4	2015-06-16	2015.2	1973-01-01	12.423284	55.85963
Pilegårdsparken 37	3460 Birkerød	3375e3	121	27893	4	2015-06-15	2015.2	1966-01-01	12.407392	55.84173000000001
Gammel Høveltevej 2	3460 Birkerød	775e4	283	27385	8	2015-06-15	2015.2	1890-01-01	12.3735337	55.8353536
Kajerødvej 170	3460 Birkerød	325e4	135	24074	5	2015-06-15	2015.2	1967-01-01	12.4187612	55.83555029999999
Birkebakken 29	3460 Birkerød	46e5	197	23350	7	2015-06-14	2015.2	1960-01-01	12.4349234	55.8261094
Trenkærvang 16	3460 Birkerød	4055e3	137	29599	5	2015-06-12	2015.2	1962-01-01	12.421322	55.8475748
Bakkevej 19A	3460 Birkerød	4295e3	151	28444	6	2015-06-11	2015.2	1970-01-01	12.4297294	55.8501542
Kastaniebakken 14	3460 Birkerød	4395e3	183	24016	4	2015-06-08	2015.2	1975-01-01	12.433533	55.82650899999999
Lærkevej 6	3460 Birkerød	4815e3	148	32534	5	2015-06-04	2015.2	1965-01-01	12.4223459	55.834248
Lindebakken 40	3460 Birkerød	5041e3	192	26255	8	2015-06-03	2015.2	1961-01-01	12.4344717	55.8204722
Munkerisparken 35	3460 Birkerød	32e5	131	24427	4	2015-06-03	2015.2	1976-01-01	12.420017	55.835023
Slåenbakken 11	3460 Birkerød	555e4	160	34688	6	2015-06-02	2015.2	2012-01-01	12.429559	55.82218700000001
Mosevangen 37	3460 Birkerød	335e4	125	26800	4	2015-06-01	2015.2	1964-01-01	12.4168369	55.839382
Fuglesangsvej 17	3460 Birkerød	3885e3	95	40895	3	2015-05-29	2015.2	1954-01-01	12.419817	55.850924
Biskop Svanes Vej 35C	3460 Birkerød	3475e3	102	34069	4	2015-05-29	2015.2	1966-01-01	12.44646	55.846944
Lindehøjvej 31C	3460 Birkerød	46e5	183	25137	6	2015-05-27	2015.2	1997-01-01	12.4227306	55.8517832
Trekanten 13	3460 Birkerød	48e5	160	3e4	7	2015-05-26	2015.2	1954-01-01	12.433484	55.835187
Bakkevej 16A	3460 Birkerød	37e5	115	32174	5	2015-05-23	2015.2	1955-01-01	12.4312402	55.8503937
Vasevej 67B	3460 Birkerød	47e5	122	38525	5	2015-05-22	2015.2	1926-01-01	12.446826	55.828528
Birkevej 3	3460 Birkerød	71e5	214	33178	8	2015-05-21	2015.2	1909-01-01	12.4313336	55.844669
Biskop Svanes Vej 24B	3460 Birkerød	2315e3	180	12861	6	2015-05-21	2015.2	2016-01-01	12.4449752	55.8461495
Biskop Svanes Vej 38	3460 Birkerød	605e4	182	33242	6	2015-05-19	2015.2	1919-01-01	12.44982	55.846445
Plantagevej 19	3460 Birkerød	327e4	141	23191	5	2015-05-18	2015.2	1971-01-01	12.427583	55.82333
Vestervang 15	3460 Birkerød	29e5	105	27619	4	2015-05-12	2015.2	1959-01-01	12.417837	55.850404
Carl Plougs Vej 62	3460 Birkerød	465e4	160	29062	6	2015-05-06	2015.2	1966-01-01	12.4627009	55.863148
Høveltevej 68	3460 Birkerød	47e5	175	26857	5	2015-05-05	2015.2	1880-01-01	12.3815925	55.8401745
Udsigtsbakken 14	3460 Birkerød	5248e3	182	28835	6	2015-05-05	2015.2	1951-01-01	12.43575	55.826285
Lyngholmen 12	3460 Birkerød	38e5	148	25676	5	2015-05-04	2015.2	1955-01-01	12.4180879	55.837792
Skovhegnet 14	3460 Birkerød	4125e3	174	23707	5	2015-05-04	2015.2	1962-01-01	12.4488824	55.845311
Sækkedammen 7	3460 Birkerød	395e4	178	22191	5	2015-05-03	2015.2	1966-01-01	12.441761	55.84766
