street	city	price	sqms	sqmp	rooms	dos	qos	yoc
Kastaniebakken 14	3460 Birkerød	4395e3	183	24016	4	2015-06-08	2015.2	1975-01-01
Lærkevej 6	3460 Birkerød	4815e3	148	32534	5	2015-06-04	2015.2	1965-01-01
Lindebakken 40	3460 Birkerød	5041e3	192	26255	8	2015-06-03	2015.2	1961-01-01
Munkerisparken 35	3460 Birkerød	32e5	131	24427	4	2015-06-03	2015.2	1976-01-01
Slåenbakken 11	3460 Birkerød	555e4	160	34688	6	2015-06-02	2015.2	2012-01-01
Mosevangen 37	3460 Birkerød	335e4	125	26800	4	2015-06-01	2015.2	1964-01-01
Fuglesangsvej 17	3460 Birkerød	3885e3	95	40895	3	2015-05-29	2015.2	1954-01-01
Biskop Svanes Vej 35C	3460 Birkerød	3475e3	102	34069	4	2015-05-29	2015.2	1966-01-01
Lindehøjvej 31C	3460 Birkerød	46e5	183	25137	6	2015-05-27	2015.2	1997-01-01
Trekanten 13	3460 Birkerød	48e5	160	3e4	7	2015-05-26	2015.2	1954-01-01
Bakkevej 16A	3460 Birkerød	37e5	115	32174	5	2015-05-23	2015.2	1955-01-01
Vasevej 67B	3460 Birkerød	47e5	122	38525	5	2015-05-22	2015.2	1926-01-01
Birkevej 3	3460 Birkerød	71e5	214	33178	8	2015-05-21	2015.2	1909-01-01
Biskop Svanes Vej 24B	3460 Birkerød	2315e3	180	12861	6	2015-05-21	2015.2	2016-01-01
Biskop Svanes Vej 38	3460 Birkerød	605e4	182	33242	6	2015-05-19	2015.2	1919-01-01
Plantagevej 19	3460 Birkerød	327e4	141	23191	5	2015-05-18	2015.2	1971-01-01
Vestervang 15	3460 Birkerød	29e5	105	27619	4	2015-05-12	2015.2	1959-01-01
Carl Plougs Vej 62	3460 Birkerød	465e4	160	29062	6	2015-05-06	2015.2	1966-01-01
Høveltevej 68	3460 Birkerød	47e5	175	26857	5	2015-05-05	2015.2	1880-01-01
Udsigtsbakken 14	3460 Birkerød	5248e3	182	28835	6	2015-05-05	2015.2	1951-01-01
Lyngholmen 12	3460 Birkerød	38e5	148	25676	5	2015-05-04	2015.2	1955-01-01
Skovhegnet 14	3460 Birkerød	4125e3	174	23707	5	2015-05-04	2015.2	1962-01-01
Sækkedammen 7	3460 Birkerød	395e4	178	22191	5	2015-05-03	2015.2	1966-01-01
Fyrrebakken 3	3460 Birkerød	3623e3	132	27447	4	2015-04-26	2015.2	1962-01-01
Rendebækgårdsvej 4	3460 Birkerød	495e4	168	29464	5	2015-04-23	2015.2	1973-01-01
Søvej 12	3460 Birkerød	4478333	138	32452	5	2015-04-23	2015.2	1850-01-01
Bistrup Hegnsvej 7B	3460 Birkerød	4795e3	147	32619	5	2015-04-16	2015.2	1981-01-01
Bakkevej 58	3460 Birkerød	53e5	217	24424	7	2015-04-15	2015.2	1952-01-01
Carinaparken 79	3460 Birkerød	5e6	225	22222	7	2015-04-14	2015.2	1900-01-01
Fuglesangsvej 41	3460 Birkerød	425e4	143	29720	5	2015-04-14	2015.2	1956-01-01
Storevang 13	3460 Birkerød	3275e3	112	29241	5	2015-04-13	2015.2	1964-01-01
Æblerosestien 20	3460 Birkerød	377e4	152	24803	6	2015-04-13	2015.2	1957-01-01
Fredsholmvej 3	3460 Birkerød	315e4	131	24046	5	2015-04-01	2015.2	1967-01-01
Bistruphave 7A	3460 Birkerød	3695e3	162	22809	4	2015-03-31	2015.1	1977-01-01
Jeppe Aakjærs Vej 5	3460 Birkerød	39e5	151	25828	3	2015-03-30	2015.1	1975-01-01
Valdemar Rørdams Vej 12	3460 Birkerød	32e5	130	24615	5	2015-03-24	2015.1	1976-01-01
Carl Plougs Vej 43	3460 Birkerød	5755e3	106	54292	3	2015-03-23	2015.1	1964-01-01
Herman Bangs Vej 16	3460 Birkerød	699e4	202	34604	7	2015-03-22	2015.1	1996-01-01
Bistrupgårdsvej 39	3460 Birkerød	4075e3	220	18523	6	2015-03-22	2015.1	1969-01-01
Hestkøb Vænge 31	3460 Birkerød	465e4	154	30195	4	2015-03-20	2015.1	1974-01-01
Lyngholmen 16	3460 Birkerød	34e5	159	21384	6	2015-03-19	2015.1	1956-01-01
Tornevangsvej 62	3460 Birkerød	335e4	136	24632	6	2015-03-17	2015.1	1964-01-01
Ellebakken 3	3460 Birkerød	3495e3	108	32361	4	2015-03-16	2015.1	1959-01-01
Hasselbakken 3	3460 Birkerød	3275e3	126	25992	6	2015-03-13	2015.1	1954-01-01
Langkærgårdsvej 48	3460 Birkerød	5495e3	193	28472	6	2015-03-08	2015.1	1967-01-01
Ravnsnæsvej 76	3460 Birkerød	3725e3	145	25690	5	2015-03-05	2015.1	1985-01-01
Vagtelvej 11	3460 Birkerød	288e4	90	32e3	4	2015-03-03	2015.1	1959-01-01
Kattehalevej 15	3460 Birkerød	33e5	170	19412	7	2015-03-02	2015.1	1957-01-01
Lindevangsvej 20B	3460 Birkerød	4925e3	161	30590	7	2015-03-02	2015.1	1972-01-01
Hestkøb Vænge 85	3460 Birkerød	426e4	182	23407	5	2015-02-27	2015.1	1972-01-01
Soldraget 29	3460 Birkerød	2795e3	124	22540	5	2015-02-27	2015.1	1960-01-01
Abildlunden 47	3460 Birkerød	4195e3	140	29964	4	2015-02-22	2015.1	1965-01-01
Bistrupvej 72	3460 Birkerød	205e4	74	27703	3	2015-02-20	2015.1	1955-01-01
Hestkøb Vænge 69	3460 Birkerød	3995e3	154	25942	5	2015-02-19	2015.1	1973-01-01
Furesøparkalle 22	3460 Birkerød	475e4	150	31667	5	2015-02-16	2015.1	1968-01-01
Stavnsholt Gydevej 92	3460 Birkerød	2498e3	91	27451	4	2015-02-16	2015.1	1946-01-01
Odinsvej 6	3460 Birkerød	34e5	120	28333	4	2015-02-16	2015.1	1936-01-01
Kvædegangen 4	3460 Birkerød	385e4	186	20699	6	2015-02-15	2015.1	1960-01-01
Odinsvej 12A	3460 Birkerød	351e4	188	18670	6	2015-02-06	2015.1	1933-01-01
Præstevangen 21	3460 Birkerød	145e4	110	13182	4	2015-02-05	2015.1	1951-01-01
Bøgebakken 9	3460 Birkerød	6125e3	240	25521	6	2015-02-05	2015.1	1973-01-01
Lindehøj Vænge 27	3460 Birkerød	275e4	161	17081	4	2015-02-05	2015.1	1960-01-01
Hestkøb Vænge 33	3460 Birkerød	42e5	178	23596	5	2015-02-03	2015.1	1971-01-01
Kattehalevej 24	3460 Birkerød	3795e3	170	22324	7	2015-01-29	2015.1	1957-01-01
Kildehøjvej 28	3460 Birkerød	31e5	208	14904	6	2015-01-29	2015.1	1924-01-01
Nobisvej 84	3460 Birkerød	5e6	163	30675	6	2015-01-28	2015.1	1980-01-01
Linde Alle 3	3460 Birkerød	69e4	145	4759	4	2015-01-23	2015.1	1955-01-01
Hestkøb Vænge 21	3460 Birkerød	405e4	158	25633	4	2015-01-23	2015.1	1976-01-01
Lerbakken 9	3460 Birkerød	335e4	107	31308	4	2015-01-22	2015.1	1960-01-01
Kajerødvej 41	3460 Birkerød	35e5	100	35e3	4	2015-01-22	2015.1	1962-01-01
Ydervang 18	3460 Birkerød	4275e3	172	24855	6	2015-01-19	2015.1	1963-01-01
Biskop Svanes Vej 49	3460 Birkerød	495e4	193	25648	6	2015-01-13	2015.1	1926-01-01
Henrik Thomsens Vej 22	3460 Birkerød	41e5	215	19070	7	2015-01-09	2015.1	1959-01-01
Turistvej 162	3460 Birkerød	635e3	271	2343	7	2015-01-08	2015.1	1970-01-01
Gyvelbakken 18	3460 Birkerød	3331e3	95	35063	5	2015-01-05	2015.1	1960-01-01
Bistrup Hegnsvej 2	3460 Birkerød	44e5	183	24044	7	2014-12-23	2014.4	1905-01-01
Bakkevej 8	3460 Birkerød	1254500	158	7940	5	2014-12-22	2014.4	1918-01-01
Præstevangen 27	3460 Birkerød	4015e3	142	28275	5	2014-12-15	2014.4	1953-01-01
Hyldeskovvej 7	3460 Birkerød	45e5	202	22277	8	2014-12-12	2014.4	1966-01-01
Magnoliavej 5B	3460 Birkerød	49e5	181	27072	5	2014-12-05	2014.4	1983-01-01
Højbovej 9	3460 Birkerød	24e5	135	17778	5	2014-12-04	2014.4	1969-01-01
Poppelbakken 2	3460 Birkerød	525e4	167	31437	6	2014-12-04	2014.4	1957-01-01
Bentzens Vænge 5	3460 Birkerød	4875e3	183	26639	6	2014-11-30	2014.4	1955-01-01
Skovmærkevej 4	3460 Birkerød	2925e3	94	31117	4	2014-11-26	2014.4	1959-01-01
Lindebakken 10	3460 Birkerød	3275e3	168	19494	6	2014-11-25	2014.4	1962-01-01
Æblerosestien 12	3460 Birkerød	3205e3	155	20677	6	2014-11-24	2014.4	1957-01-01
Bregnerødvej 51	3460 Birkerød	31e5	166	18675	6	2014-11-21	2014.4	1974-01-01
Vestre Teglværksvej 7	3460 Birkerød	2995e3	147	20374	3	2014-11-19	2014.4	2016-01-01
Storkevænget 28	3460 Birkerød	375e4	148	25338	5	2014-11-17	2014.4	1964-01-01
Stenløkken 1	3460 Birkerød	43e5	211	20379	6	2014-11-13	2014.4	1974-01-01
Stenhøjgårdsvej 45	3460 Birkerød	5775e3	195	29615	7	2014-11-13	2014.4	1995-01-01
Rørsangervej 23	3460 Birkerød	3315e3	149	22248	5	2014-11-10	2014.4	1966-01-01
Storevang 49	3460 Birkerød	575e4	218	26376	7	2014-11-09	2014.4	1964-01-01
Marianelundsvej 4	3460 Birkerød	325e4	150	21667	5	2014-11-05	2014.4	1960-01-01
Solbjærget 36	3460 Birkerød	5925e3	158	37500	6	2014-11-02	2014.4	1952-01-01
Vasevej 89B	3460 Birkerød	395e4	133	29699	5	2014-10-30	2014.4	1959-01-01
Bakkevej 55	3460 Birkerød	51e5	249	20482	6	2014-10-27	2014.4	1943-01-01
Kastaniebakken 5	3460 Birkerød	5025e3	170	29559	6	2014-10-26	2014.4	1962-01-01
Egebakken 5	3460 Birkerød	54e5	158	34177	5	2014-10-21	2014.4	1963-01-01
Eskemosegårds Alle 25	3460 Birkerød	3540500	159	22267	7	2014-10-21	2014.4	1974-01-01
Solbjærget 33	3460 Birkerød	36e5	160	22500	6	2014-10-17	2014.4	1952-01-01
Storkevænget 2	3460 Birkerød	4345e3	165	26333	6	2014-10-17	2014.4	1962-01-01
Lærkebakken 22	3460 Birkerød	415e4	143	29021	5	2014-10-15	2014.4	1985-01-01
Hestkøbvej 3	3460 Birkerød	61e5	272	22426	7	2014-10-13	2014.4	1946-01-01
P M Møllers Vej 9	3460 Birkerød	53e5	170	31176	5	2014-10-09	2014.4	1999-01-01
Jeppe Aakjærs Vej 10	3460 Birkerød	4525e3	147	30782	5	2014-10-08	2014.4	1967-01-01
Fuglesangsvej 2	3460 Birkerød	26e5	109	23853	5	2014-10-08	2014.4	1953-01-01
Stenhøjgårdsvej 41	3460 Birkerød	3675e3	130	28269	4	2014-10-07	2014.4	1984-01-01
Furesøparkalle 16	3460 Birkerød	38e5	120	31667	4	2014-10-02	2014.4	1958-01-01
Stenløkken 65	3460 Birkerød	46e5	208	22115	7	2014-09-30	2014.3	1984-01-01
Nordvangsparken 37	3460 Birkerød	455e4	148	30743	4	2014-09-30	2014.3	1965-01-01
Æblerosestien 7B	3460 Birkerød	2795e3	122	22910	6	2014-09-29	2014.3	1947-01-01
Stenløkken 31	3460 Birkerød	385e4	169	22781	6	2014-09-28	2014.3	1978-01-01
Bregnerødvej 7	3460 Birkerød	5e6	115	43478	3	2014-09-26	2014.3	1777-01-01
Nobisvej 78	3460 Birkerød	49e5	175	28e3	5	2014-09-25	2014.3	1978-01-01
Hestkøb Vænge 5	3460 Birkerød	375e4	143	26224	4	2014-09-22	2014.3	1978-01-01
Pilegårdsparken 43	3460 Birkerød	335e4	113	29646	4	2014-09-19	2014.3	1966-01-01
Lindevangsvej 17E	3460 Birkerød	4895e3	203	24113	7	2014-09-19	2014.3	1962-01-01
Lærkebakken 23	3460 Birkerød	39e5	153	25490	5	2014-09-17	2014.3	1987-01-01
Abildgårdsparken 9	3460 Birkerød	3e6	125	24e3	5	2014-09-16	2014.3	1967-01-01
Lillevang 14	3460 Birkerød	225e4	185	12162	6	2014-09-15	2014.3	2015-01-01
Bistrupvej 48	3460 Birkerød	29e5	96	30208	4	2014-09-11	2014.3	1949-01-01
Vandtårnsvej 34	3460 Birkerød	44e5	164	26829	5	2014-09-08	2014.3	1969-01-01
Steen Blichers Vej 7	3460 Birkerød	1625e3	233	6974	6	2014-09-04	2014.3	1968-01-01
Stenhøjgårdsvej 43	3460 Birkerød	3995e3	159	25126	6	2014-09-02	2014.3	1983-01-01
Sjælsøvej 25	3460 Birkerød	335e4	118	28390	3	2014-08-29	2014.3	1965-01-01
Birkerød Kongevej 89	3460 Birkerød	3625e3	271	13376	8	2014-08-27	2014.3	1929-01-01
Ravnsnæsvej 48	3460 Birkerød	27e5	123	21951	5	2014-08-25	2014.3	1960-01-01
Skovvang 15	3460 Birkerød	365e4	176	20739	6	2014-08-24	2014.3	1964-01-01
Skovvang 5	3460 Birkerød	3e6	107	28037	4	2014-08-22	2014.3	1966-01-01
Engen 3	3460 Birkerød	765e4	214	35748	7	2014-08-22	2014.3	1877-01-01
Fuglesangsvej 10	3460 Birkerød	2995e3	107	27991	4	2014-08-16	2014.3	1958-01-01
Plantagevej 41	3460 Birkerød	355e4	148	23986	4	2014-08-14	2014.3	1967-01-01
Bistrupvej 177	3460 Birkerød	2525e3	127	19882	4	2014-08-12	2014.3	1960-01-01
Birkebakken 2	3460 Birkerød	1175e3	104	11298	3	2014-08-12	2014.3	1960-01-01
Bakkevej 63	3460 Birkerød	2405e3	95	25316	4	2014-08-12	2014.3	1961-01-01
Bakkevej 3B	3460 Birkerød	2725e3	109	25e3	4	2014-08-08	2014.3	1923-01-01
Mosevangen 10	3460 Birkerød	3625e3	138	26268	6	2014-08-07	2014.3	1957-01-01
Kajerødvej 66	3460 Birkerød	37e5	161	22981	5	2014-08-06	2014.3	1972-01-01
Munkerisparken 45	3460 Birkerød	4887500	179	27304	5	2014-08-05	2014.3	1974-01-01
Baunevang 22	3460 Birkerød	348e4	146	23836	5	2014-08-05	2014.3	1954-01-01
Stenløkken 52	3460 Birkerød	35e5	159	22013	5	2014-07-15	2014.3	1972-01-01
Fuglesangsvej 52	3460 Birkerød	315e4	174	18103	5	2014-07-14	2014.3	2015-01-01
Bistrup Byvej 14	3460 Birkerød	235e4	127	18504	5	2014-07-08	2014.3	1967-01-01
Bakkevej 47	3460 Birkerød	2595e3	95	27316	4	2014-07-08	2014.3	1945-01-01
Storkevænget 8	3460 Birkerød	4175e3	168	24851	6	2014-07-07	2014.3	1963-01-01
Bistrupvej 200	3460 Birkerød	265e4	145	18276	5	2014-07-02	2014.3	1964-01-01
Teglværksvej 74	3460 Birkerød	46e5	177	25989	5	2014-06-26	2014.2	1971-01-01
Fuglesangsvej 27I	3460 Birkerød	495e4	171	28947	4	2014-06-24	2014.2	1971-01-01
Birkebakken 62	3460 Birkerød	435e4	143	30420	5	2014-06-23	2014.2	1962-01-01
Nobisvej 15	3460 Birkerød	389e4	105	37048	3	2014-06-22	2014.2	1957-01-01
Stenhøjgårdsvej 28	3460 Birkerød	3025e3	165	18333	7	2014-06-18	2014.2	1969-01-01
Fuglesangsvej 24	3460 Birkerød	39e5	130	3e4	5	2014-06-15	2014.2	1960-01-01
Skovgårdsvej 28	3460 Birkerød	335e4	180	18611	5	2014-06-13	2014.2	2016-01-01
Vestervang 40	3460 Birkerød	1825e3	154	11851	5	2014-06-11	2014.2	1962-01-01
Traneholmen 31	3460 Birkerød	33e5	106	31132	4	2014-06-10	2014.2	1962-01-01
Kirsebærlunden 30	3460 Birkerød	35e5	165	21212	5	2014-06-10	2014.2	1969-01-01
Abildgårdsparken 11	3460 Birkerød	34e5	138	24638	4	2014-06-09	2014.2	1968-01-01
Bistrup Byvej 3	3460 Birkerød	6e6	183	32787	6	2014-06-07	2014.2	1877-01-01
Vasevej 91	3460 Birkerød	3275e3	118	27754	4	2014-06-04	2014.2	1958-01-01
Ferskengangen 19	3460 Birkerød	39e5	142	27465	5	2014-06-04	2014.2	1960-01-01
Slåenbakken 15	3460 Birkerød	2825e3	129	21899	4	2014-06-02	2014.2	1961-01-01
Pilebakken 6	3460 Birkerød	3737500	103	36286	5	2014-05-28	2014.2	1963-01-01
Æblerosestien 5	3460 Birkerød	335e4	174	19253	5	2014-05-28	2014.2	1958-01-01
Byagervej 19	3460 Birkerød	32e5	181	17680	7	2014-05-25	2014.2	1959-01-01
Vasevej 109C	3460 Birkerød	3195e3	156	20481	4	2014-05-22	2014.2	1973-01-01
Slåenbakken 10	3460 Birkerød	322e4	136	23676	4	2014-05-21	2014.2	1960-01-01
Stenhøjgårdsvej 51	3460 Birkerød	32e5	169	18935	6	2014-05-21	2014.2	1974-01-01
Skolevej 7	3460 Birkerød	38e5	144	26389	6	2014-05-20	2014.2	1917-01-01
Birkebakken 30B	3460 Birkerød	2688279	126	21336	4	2014-05-19	2014.2	2015-01-01
Mellemvang 18	3460 Birkerød	4e6	143	27972	5	2014-05-17	2014.2	1967-01-01
Æblerosestien 1	3460 Birkerød	316e4	176	17955	6	2014-05-14	2014.2	1958-01-01
Lærkebakken 34	3460 Birkerød	34e5	165	20606	7	2014-05-14	2014.2	1962-01-01
Mosevangen 51	3460 Birkerød	32e5	125	25600	3	2014-05-13	2014.2	1964-01-01
Skovvang 23	3460 Birkerød	465e4	228	20395	8	2014-05-12	2014.2	1964-01-01
Bregnerødvej 21	3460 Birkerød	55e5	200	27500	7	2014-05-12	2014.2	1951-01-01
Hestkøb Vænge 89	3460 Birkerød	37e5	137	27007	5	2014-05-06	2014.2	1972-01-01
Ludvig Jensens Vej 6	3460 Birkerød	1695e3	149	11376	5	2014-05-04	2014.2	2015-01-01
Birkevej 16	3460 Birkerød	44e5	200	22e3	5	2014-04-30	2014.2	1963-01-01
Damgårdsvej 66	3460 Birkerød	36e5	164	21951	5	2014-04-30	2014.2	1963-01-01
Langkærgårdsvej 50	3460 Birkerød	4695e3	180	26083	6	2014-04-29	2014.2	1986-01-01
Lillevang 19	3460 Birkerød	311e4	145	21448	5	2014-04-28	2014.2	1961-01-01
Birkebakken 26	3460 Birkerød	25e5	112	22321	5	2014-04-27	2014.2	1959-01-01
Ravnsnæsvej 30	3460 Birkerød	38e5	161	23602	6	2014-04-26	2014.2	1930-01-01
Johan Mantzius Vej 37	3460 Birkerød	325e4	122	26639	5	2014-04-25	2014.2	1946-01-01
Kvædegangen 3	3460 Birkerød	2775e3	116	23922	4	2014-04-24	2014.2	1960-01-01
Bakkevej 5E	3460 Birkerød	49e5	160	30625	4	2014-04-15	2014.2	2014-01-01
Kildedalsvej 6	3460 Birkerød	58e5	294	19728	9	2014-04-13	2014.2	1900-01-01
Mølledamsvej 20	3460 Birkerød	18e5	144	12500	6	2014-04-10	2014.2	1929-01-01
Sækkedammen 8B	3460 Birkerød	455e4	178	25562	5	2014-04-06	2014.2	2009-01-01
Birkerød Parkvej 49	3460 Birkerød	245e4	146	16781	5	2014-04-06	2014.2	1957-01-01
Hasselbakken 8	3460 Birkerød	29e5	99	29293	4	2014-04-04	2014.2	1958-01-01
Bøgevej 2	3460 Birkerød	33e5	192	17188	4	2014-03-28	2014.1	1907-01-01
Sjælsøvej 56	3460 Birkerød	425e4	168	25298	5	2014-03-24	2014.1	1975-01-01
Birkebakken 58	3460 Birkerød	34e5	151	22517	5	2014-03-17	2014.1	1968-01-01
Langkærgårdsvej 59	3460 Birkerød	3275e3	169	19379	5	2014-03-17	2014.1	1963-01-01
Bregnerødvej 6	3460 Birkerød	33e5	146	22603	5	2014-03-10	2014.1	1895-01-01
Birkebakken 37	3460 Birkerød	3587500	150	23917	5	2014-03-04	2014.1	1958-01-01
Fuglesangsvej 38	3460 Birkerød	2925e3	212	13797	6	2014-02-27	2014.1	2016-01-01
Nobisvej 38	3460 Birkerød	3487e3	145	24048	5	2014-02-24	2014.1	1981-01-01
Granbakken 14	3460 Birkerød	415e4	142	29225	4	2014-02-21	2014.1	1993-01-01
Udsigtsbakken 3	3460 Birkerød	34e5	165	20606	6	2014-02-13	2014.1	1957-01-01
Kattehalevej 13	3460 Birkerød	165e4	145	11379	7	2014-02-07	2014.1	1957-01-01
Furesøbakken 6	3460 Birkerød	535e4	204	26225	6	2014-02-06	2014.1	1970-01-01
Stenhøj Vænge 5	3460 Birkerød	3075e3	131	23473	5	2014-01-31	2014.1	1974-01-01
Birkerød Kongevej 142	3460 Birkerød	34e5	169	20118	8	2014-01-31	2014.1	1998-01-01
Gyvelbakken 24	3460 Birkerød	48e5	168	28571	6	2014-01-28	2014.1	1996-01-01
Odinsvej 7	3460 Birkerød	4275500	154	27763	5	2014-01-28	2014.1	1939-01-01
Kirsebærlunden 32	3460 Birkerød	3e6	172	17442	6	2014-01-27	2014.1	1968-01-01
Pilegårdsparken 57	3460 Birkerød	53e5	160	33125	5	2014-01-23	2014.1	1972-01-01
Abildlunden 14	3460 Birkerød	3625e3	148	24493	6	2014-01-23	2014.1	1960-01-01
Præstevangen 1C	3460 Birkerød	34e5	149	22819	4	2014-01-21	2014.1	1987-01-01
Skovgårdsvej 21	3460 Birkerød	29e5	140	20714	6	2014-01-20	2014.1	1960-01-01
Bistrupgårdsvej 5B	3460 Birkerød	3385e3	173	19566	7	2014-01-16	2014.1	1964-01-01
Bakkevej 11B	3460 Birkerød	395e4	191	20681	7	2014-01-16	2014.1	1957-01-01
Abildlunden 13	3460 Birkerød	4195e3	143	29336	4	2014-01-16	2014.1	1974-01-01
Høveltevej 87	3460 Birkerød	12e6	371	32345	7	2014-01-15	2014.1	1950-01-01
Kajasvej 4	3460 Birkerød	32e5	151	21192	6	2014-01-14	2014.1	1918-01-01
Pilebakken 4	3460 Birkerød	365e4	120	30417	5	2014-01-09	2014.1	1958-01-01
Soldraget 2	3460 Birkerød	2925e3	103	28398	4	2014-01-09	2014.1	1967-01-01
Carinaparken 51	3460 Birkerød	3925e3	147	26701	4	2014-01-05	2014.1	1968-01-01
