street	city	price	sqms	sqmp	rooms	dos	qos	yoc
Ernst Bojesens Vej 12	2840 Holte	5837500	194	30090	7	2017-01-09	2017.1	1907-01-01
Kikhanebakken 24	2840 Holte	395e4	170	23235	4	2017-01-06	2017.1	1972-01-01
Havrevænget 13	2840 Holte	475e4	172	27616	5	2017-01-04	2017.1	1968-01-01
Grünersvej 32	2840 Holte	7825e3	214	36565	5	2016-12-27	2016.4	1946-01-01
Højleddet 27	2840 Holte	45e5	168	26786	6	2016-12-22	2016.4	1972-01-01
Vestre Paradisvej 19A	2840 Holte	6e6	188	31915	5	2016-12-22	2016.4	1937-01-01
Søllerødgårdsvej 31	2840 Holte	76e5	199	38191	5	2016-12-14	2016.4	1965-01-01
Kikhanebakken 42	2840 Holte	4375e3	140	31250	4	2016-12-12	2016.4	1971-01-01
Kongevejen 477A	2840 Holte	41e5	169	24260	5	2016-12-09	2016.4	1988-01-01
Vejdammen 82	2840 Holte	295e4	155	19032	5	2016-12-08	2016.4	1972-01-01
Østre Paradisvej 81	2840 Holte	46e5	160	28750	6	2016-11-28	2016.4	1964-01-01
Skodsborgvej 150	2840 Holte	64e5	192	33333	5	2016-11-25	2016.4	1902-01-01
Øverødvej 47A	2840 Holte	725e4	183	39617	5	2016-11-25	2016.4	1985-01-01
Valdkær 16	2840 Holte	66e5	110	6e4	3	2016-11-25	2016.4	1959-01-01
Højleddet 59	2840 Holte	41e5	234	17521	6	2016-11-25	2016.4	1974-01-01
Højbjerggårdsvej 21	2840 Holte	679e4	205	33122	6	2016-11-24	2016.4	1970-01-01
Attemosevej 162	2840 Holte	875e4	659	13278	12	2016-11-22	2016.4	1877-01-01
Kongevejen 367	2840 Holte	5495e3	172	31948	4	2016-11-15	2016.4	1923-01-01
Østre Paradisvej 74	2840 Holte	62e5	151	41060	5	2016-11-15	2016.4	1959-01-01
Højbjerg Vang 13	2840 Holte	565e4	178	31742	7	2016-11-09	2016.4	1986-01-01
Højbjerg Vang 11	2840 Holte	43e5	143	30070	4	2016-11-07	2016.4	1986-01-01
Elverbo 11	2840 Holte	46e5	177	25989	5	2016-11-04	2016.4	1964-01-01
Malerbakken 13	2840 Holte	475e4	104	45673	4	2016-11-02	2016.4	1956-01-01
Geelsmark 20	2840 Holte	82e5	220	37273	6	2016-11-02	2016.4	1962-01-01
Lyngbakkevej 2B	2840 Holte	7e6	241	29046	8	2016-11-01	2016.4	1963-01-01
Arnevangen 33	2840 Holte	4685e3	144	32535	5	2016-11-01	2016.4	1960-01-01
Rudegårds Alle 20B	2840 Holte	575e4	210	27381	6	2016-10-30	2016.4	1981-01-01
Fredskovvej 8	2840 Holte	5e6	167	29940	7	2016-10-29	2016.4	1931-01-01
Vejlesøvej 23	2840 Holte	95e5	240	39583	7	2016-10-28	2016.4	1935-01-01
Skovskellet 39A	2840 Holte	495e4	116	42672	3	2016-10-27	2016.4	1955-01-01
Mothsvej 74	2840 Holte	63e5	175	36e3	5	2016-10-26	2016.4	1935-01-01
Kastanievej 27	2840 Holte	535e4	146	36644	5	2016-10-15	2016.4	1973-01-01
Skovskellet 19	2840 Holte	92e5	239	38494	8	2016-10-14	2016.4	1923-01-01
Vejdammen 50	2840 Holte	2995e3	166	18042	5	2016-10-12	2016.4	1970-01-01
Rudersdalsvej 65	2840 Holte	795e4	216	36806	6	2016-10-06	2016.4	2008-01-01
Bjerggårdsvænget 25	2840 Holte	5495e3	171	32135	6	2016-09-30	2016.3	1948-01-01
Trendetoften 1	2840 Holte	375e4	139	26978	4	2016-09-27	2016.3	1955-01-01
Østre Paradisvej 55	2840 Holte	3995e3	131	30496	4	2016-09-27	2016.3	1965-01-01
Søbakkevej 35	2840 Holte	39e5	132	29545	5	2016-09-26	2016.3	1727-01-01
Rudersdalsvej 74	2840 Holte	5695e3	156	36506	5	2016-09-25	2016.3	1929-01-01
Rudersdalsvej 20	2840 Holte	83e5	205	40488	6	2016-09-23	2016.3	1955-01-01
Egebækvej 39	2840 Holte	41e5	127	32283	4	2016-09-22	2016.3	1956-01-01
Borgm.Schneiders Vej 32	2840 Holte	43e5	156	27564	6	2016-09-09	2016.3	1963-01-01
Skodsborgvej 132	2840 Holte	71e5	286	24825	8	2016-09-09	2016.3	1971-01-01
Gl.Holte Gade 31	2840 Holte	5995e3	182	32940	5	2016-09-07	2016.3	1800-01-01
Søllerødgårdsvej 42	2840 Holte	64e5	124	51613	4	2016-08-24	2016.3	1956-01-01
Borgm.Schneiders Vej 16	2840 Holte	3375e3	112	30134	4	2016-08-22	2016.3	1963-01-01
Attemosevej 17	2840 Holte	68e5	217	31336	6	2016-08-19	2016.3	1973-01-01
Landsebakken 1	2840 Holte	53e5	175	30286	5	2016-08-17	2016.3	1920-01-01
Ved Næsseskoven 10	2840 Holte	15e6	206	72816	4	2016-08-17	2016.3	1963-01-01
Vejdammen 16	2840 Holte	44e5	154	28571	7	2016-08-11	2016.3	1956-01-01
Krogholmen 5	2840 Holte	15125e3	213	71009	6	2016-08-10	2016.3	1954-01-01
Birkebakken 37	2840 Holte	96e5	238	40336	7	2016-08-10	2016.3	2015-01-01
Havrevænget 7	2840 Holte	465e4	167	27844	4	2016-08-01	2016.3	1967-01-01
Kikhanebakken 66	2840 Holte	435e4	178	24438	6	2016-07-28	2016.3	1973-01-01
Paradishegnet 14	2840 Holte	3e6	133	22556	5	2016-07-27	2016.3	1960-01-01
Kongevejen 428	2840 Holte	34e5	87	39080	3	2016-07-26	2016.3	1939-01-01
Vidnæsdal 33B	2840 Holte	675e4	268	25187	7	2016-07-22	2016.3	1967-01-01
Skovmindevej 1	2840 Holte	8e6	184	43478	6	2016-07-19	2016.3	1959-01-01
Rudersdalsvej 63	2840 Holte	425e4	150	28333	5	2016-07-15	2016.3	1957-01-01
Mothsvej 57	2840 Holte	45e5	160	28125	4	2016-07-14	2016.3	1970-01-01
Geelsmark 24	2840 Holte	3320450	198	16770	6	2016-07-07	2016.3	1958-01-01
Ørnebakken 31	2840 Holte	5995e3	188	31888	6	2016-07-05	2016.3	1974-01-01
Kollemosevej 29A	2840 Holte	685e4	158	43354	5	2016-07-05	2016.3	1930-01-01
Hyldehøj 10	2840 Holte	56e5	152	36842	4	2016-06-29	2016.2	1963-01-01
Dronninggårds Alle 121	2840 Holte	89e5	170	52353	6	2016-06-29	2016.2	1939-01-01
Borgm.Schneiders Vej 88	2840 Holte	515e4	206	25e3	6	2016-06-28	2016.2	1961-01-01
Skovlybakken 23	2840 Holte	475e4	166	28614	6	2016-06-23	2016.2	1961-01-01
Borgm.Schneiders Vej 45	2840 Holte	36e5	122	29508	6	2016-06-23	2016.2	1965-01-01
Fredskovvej 13	2840 Holte	105e5	224	46875	6	2016-06-23	2016.2	1971-01-01
Rudekæret 13	2840 Holte	54e5	157	34395	6	2016-06-21	2016.2	1961-01-01
Rudeskrænten 1	2840 Holte	5475e3	228	24013	6	2016-06-21	2016.2	1968-01-01
Egebækvej 43	2840 Holte	5225e3	149	35067	6	2016-06-16	2016.2	2012-01-01
Rønnebærvej 45	2840 Holte	97e5	233	41631	7	2016-06-08	2016.2	2013-01-01
Skovmindevej 35	2840 Holte	14e6	246	56911	7	2016-06-03	2016.2	1926-01-01
Frederikslundsvej 2	2840 Holte	79e5	235	33617	7	2016-05-29	2016.2	1767-01-01
Pile Alle 8	2840 Holte	755e4	172	43895	5	2016-05-27	2016.2	1957-01-01
Paradisvænget 2	2840 Holte	5125e3	181	28315	6	2016-05-26	2016.2	1925-01-01
Gammel Holtevej 100B	2840 Holte	43e5	195	22051	6	2016-05-25	2016.2	1970-01-01
Søllerødlund 1	2840 Holte	47e5	163	28834	5	2016-05-25	2016.2	1970-01-01
Højbjerggårdsvej 29	2840 Holte	57e5	150	38e3	5	2016-05-25	2016.2	1985-01-01
Mothsvej 54	2840 Holte	6e6	192	31250	7	2016-05-24	2016.2	1929-01-01
Attemosevej 47	2840 Holte	146e5	242	60331	7	2016-05-23	2016.2	2005-01-01
Gl.Holte Gade 50	2840 Holte	82e5	178	46067	5	2016-05-22	2016.2	1877-01-01
Gl.Holte Gade 32B	2840 Holte	355e4	134	26493	5	2016-05-19	2016.2	1971-01-01
Rønnebærvej 41	2840 Holte	9995e3	185	54027	6	2016-05-19	2016.2	1926-01-01
De Conincks Vej 3B	2840 Holte	114e5	236	48305	6	2016-05-15	2016.2	2004-01-01
Morlenesvej 40	2840 Holte	63e5	176	35795	6	2016-05-13	2016.2	1970-01-01
Østre Paradisvej 50	2840 Holte	42e5	146	28767	4	2016-05-13	2016.2	1930-01-01
Malmmosevej 2	2840 Holte	72e5	213	33803	9	2016-05-13	2016.2	1907-01-01
Frederik Clausens Vænge 23	2840 Holte	38e5	91	41758	4	2016-05-12	2016.2	1964-01-01
Kirsebær Alle 7	2840 Holte	386e4	95	40632	4	2016-05-10	2016.2	1935-01-01
Bakkeåsen 14	2840 Holte	475e4	189	25132	5	2016-05-08	2016.2	1969-01-01
Rudekæret 10	2840 Holte	6095e3	179	34050	6	2016-05-04	2016.2	1962-01-01
Poppel Alle 4	2840 Holte	53e5	155	34194	6	2016-05-04	2016.2	1905-01-01
Kikhanebakken 58	2840 Holte	476e4	166	28675	4	2016-05-03	2016.2	1973-01-01
Dronninggårds Alle 119	2840 Holte	1475e4	274	53832	9	2016-05-03	2016.2	1956-01-01
Kurvestykket 8	2840 Holte	39e5	158	24684	4	2016-05-01	2016.2	1973-01-01
Skodsborgvej 146B	2840 Holte	585e4	163	35890	4	2016-04-29	2016.2	1976-01-01
Kastanievej 15	2840 Holte	66e5	163	40491	5	2016-04-29	2016.2	1936-01-01
Borgm.Schneiders Vej 58	2840 Holte	445e4	129	34496	5	2016-04-25	2016.2	1963-01-01
Toftevej 12	2840 Holte	68e5	210	32381	8	2016-04-23	2016.2	1949-01-01
Skodsborgvej 152A	2840 Holte	5925e3	279	21237	6	2016-04-19	2016.2	1978-01-01
Tofteåsen 30	2840 Holte	4867500	237	20538	6	2016-04-14	2016.2	1972-01-01
Kastanievej 38	2840 Holte	4595e3	124	37056	3	2016-04-12	2016.2	1950-01-01
Vejdammen 4	2840 Holte	49e5	189	25926	7	2016-04-08	2016.2	1968-01-01
Skovly Mark 34	2840 Holte	685e4	189	36243	5	2016-04-06	2016.2	1965-01-01
Rønnebærvej 69A	2840 Holte	6495e3	202	32153	8	2016-04-01	2016.2	1935-01-01
Gammel Holtevej 82B	2840 Holte	315e4	180	17500	4	2016-03-18	2016.1	2017-01-01
Dronninggårds Alle 112	2840 Holte	378e5	416	90865	7	2016-03-18	2016.1	2008-01-01
Mothsvej 49	2840 Holte	78e5	212	36792	6	2016-03-15	2016.1	2010-01-01
Rudesøvej 5A	2840 Holte	4177e3	100	41770	4	2016-03-07	2016.1	1922-01-01
Østre Paradisvej 12B	2840 Holte	5e6	235	21277	8	2016-02-29	2016.1	1971-01-01
Vestre Paradisvej 149	2840 Holte	443e4	157	28217	5	2016-02-23	2016.1	1976-01-01
Kastanievej 41	2840 Holte	47e5	149	31544	4	2016-02-17	2016.1	1955-01-01
Skovmindevej 4	2840 Holte	785e4	195	40256	5	2016-02-17	2016.1	1967-01-01
Vejdammen 21	2840 Holte	395e4	145	27241	5	2016-02-16	2016.1	1971-01-01
Vejdammen 94	2840 Holte	2595e3	150	17300	5	2016-02-16	2016.1	1975-01-01
Smutgærde 5	2840 Holte	74e5	182	40659	6	2016-02-15	2016.1	1985-01-01
Rudegårds Alle 20A	2840 Holte	525e4	156	33654	5	2016-02-15	2016.1	1978-01-01
Paradisvænget 12A	2840 Holte	62e5	223	27803	6	2016-02-11	2016.1	1971-01-01
Søvej 19	2840 Holte	6922e3	311	22257	11	2016-02-08	2016.1	1907-01-01
Rønnebærvej 136A	2840 Holte	56e5	217	25806	4	2016-02-08	2016.1	1954-01-01
Gl.Dronninggrd.Alle 3	2840 Holte	91e5	258	35271	9	2016-02-06	2016.1	1907-01-01
Kong Valdemars Vej 64	2840 Holte	22e6	708	31073	14	2016-02-04	2016.1	1995-01-01
Elverbo 8	2840 Holte	62e5	212	29245	7	2016-02-01	2016.1	1999-01-01
Østre Paradisvej 23A	2840 Holte	445e4	116	38362	4	2016-01-28	2016.1	1963-01-01
Parcelvej 10	2840 Holte	6975e3	162	43056	7	2016-01-27	2016.1	1924-01-01
Øverødvej 54	2840 Holte	495e4	155	31935	6	2016-01-18	2016.1	1928-01-01
Oksemosen 8	2840 Holte	46e5	173	26590	6	2016-01-17	2016.1	1968-01-01
Vestre Paradisvej 56	2840 Holte	505e4	147	34354	6	2016-01-17	2016.1	1957-01-01
Vestre Paradisvej 135	2840 Holte	545e4	147	37075	5	2016-01-10	2016.1	1962-01-01
Skovmindevej 38	2840 Holte	695e4	174	39943	6	2016-01-10	2016.1	1954-01-01
Rudersdalsvej 13	2840 Holte	535e4	169	31657	6	2015-12-27	2015.4	1964-01-01
Carlsmindevej 5	2840 Holte	125e5	362	34530	7	2015-12-22	2015.4	1939-01-01
Havrevænget 11	2840 Holte	54e5	162	33333	6	2015-12-22	2015.4	2006-01-01
Tofteåsen 3	2840 Holte	49e5	201	24378	6	2015-12-15	2015.4	1966-01-01
Søllerødvej 80	2840 Holte	155e5	310	5e4	14	2015-12-15	2015.4	1914-01-01
Øverødvej 135	2840 Holte	4e6	136	29412	5	2015-12-13	2015.4	1947-01-01
Østre Paradisvej 15	2840 Holte	435e4	120	36250	4	2015-12-11	2015.4	1923-01-01
Tyrsbakke 6	2840 Holte	76e5	224	33929	7	2015-12-10	2015.4	1967-01-01
Kildeåsen 15	2840 Holte	53e5	177	29944	5	2015-12-06	2015.4	1971-01-01
Mothsvej 21	2840 Holte	785e4	243	32305	8	2015-12-05	2015.4	1924-01-01
Vejdammen 25	2840 Holte	204e4	200	10200	6	2015-12-04	2015.4	1988-01-01
Skovlodden 22	2840 Holte	655e4	169	38757	7	2015-12-04	2015.4	1961-01-01
Morlenesvej 42	2840 Holte	675e4	205	32927	9	2015-11-30	2015.4	1906-01-01
Højleddet 50	2840 Holte	4e6	179	22346	6	2015-11-29	2015.4	1972-01-01
Øverødvej 69	2840 Holte	5395e3	229	23559	8	2015-11-24	2015.4	1907-01-01
Søvej 7A	2840 Holte	185e5	385	48052	8	2015-11-23	2015.4	1972-01-01
Rudersdalsvej 64	2840 Holte	555e4	158	35127	5	2015-11-19	2015.4	1924-01-01
Rudehøj Park 2	2840 Holte	71e5	330	21515	9	2015-11-16	2015.4	1919-01-01
Norske Alle 1	2840 Holte	8e6	190	42105	6	2015-11-16	2015.4	1985-01-01
Dronninggårds Alle 117	2840 Holte	122e5	221	55204	7	2015-11-13	2015.4	1945-01-01
Vidnæsdal 31	2840 Holte	3e5	198	1515	8	2015-11-11	2015.4	1984-01-01
Poppel Alle 13	2840 Holte	49e5	190	25789	7	2015-11-05	2015.4	1923-01-01
Søllerødvej 118	2840 Holte	4925e3	176	27983	6	2015-11-04	2015.4	1959-01-01
Paradisvænget 3A	2840 Holte	32e5	161	19876	5	2015-11-03	2015.4	1967-01-01
Dronninggårds Alle 48	2840 Holte	145e5	286	50699	5	2015-10-28	2015.4	2017-01-01
Norske Alle 5	2840 Holte	76e5	230	33043	7	2015-10-28	2015.4	1899-01-01
Vasevej 5B	2840 Holte	3995e3	175	22829	6	2015-10-28	2015.4	1966-01-01
Margrethevej 40	2840 Holte	4585e3	104	44087	4	2015-10-27	2015.4	1935-01-01
Kastanievej 5	2840 Holte	91e5	217	41935	6	2015-10-26	2015.4	1925-01-01
Borgm.Schneiders Vej 72	2840 Holte	4595e3	121	37975	4	2015-10-19	2015.4	1962-01-01
Paradiskrogen 3	2840 Holte	525e4	145	36207	7	2015-10-13	2015.4	1952-01-01
Birkebakken 10	2840 Holte	98e5	242	40496	6	2015-10-12	2015.4	1937-01-01
Skovskellet 35A	2840 Holte	4775e3	163	29294	7	2015-10-11	2015.4	1961-01-01
Geelsvej 39	2840 Holte	155e5	312	49679	6	2015-10-05	2015.4	2015-01-01
Rønnebærvej 30	2840 Holte	795e4	198	40152	8	2015-09-29	2015.3	1916-01-01
Øverødvej 133	2840 Holte	36e5	111	32432	4	2015-09-25	2015.3	1946-01-01
Pindehuggervang 4	2840 Holte	352e4	121	29091	5	2015-09-25	2015.3	1960-01-01
Arnegårds Alle 16	2840 Holte	655e4	172	38081	5	2015-09-22	2015.3	1959-01-01
Skodsborgvej 140	2840 Holte	665e4	218	30505	6	2015-09-20	2015.3	1971-01-01
Dronninggårds Alle 52	2840 Holte	151e5	275	54909	9	2015-09-17	2015.3	1913-01-01
Carit Etlars Vej 4	2840 Holte	605e4	177	34181	6	2015-09-16	2015.3	1914-01-01
Trendetoften 5	2840 Holte	495e4	121	40909	4	2015-09-15	2015.3	1956-01-01
Rudørestien 8	2840 Holte	48e5	203	23645	7	2015-09-07	2015.3	1960-01-01
Elmevej 11	2840 Holte	585e4	165	35455	6	2015-09-06	2015.3	1936-01-01
Søholmen 3	2840 Holte	74e5	192	38542	5	2015-09-04	2015.3	1986-01-01
Malmmosevej 22	2840 Holte	795e4	155	51290	5	2015-09-01	2015.3	1931-01-01
Vejdammen 33	2840 Holte	3615e3	138	26196	5	2015-08-31	2015.3	1969-01-01
Arnegårds Alle 11	2840 Holte	75e5	239	31381	5	2015-08-26	2015.3	1931-01-01
Arnevangen 26	2840 Holte	146e5	299	48829	6	2015-08-26	2015.3	2014-01-01
Pile Alle 29	2840 Holte	53e5	130	40769	5	2015-08-25	2015.3	1981-01-01
Vejdammen 79	2840 Holte	374e4	173	21618	5	2015-08-17	2015.3	1977-01-01
Rudegårds Alle 47	2840 Holte	72e5	167	43114	6	2015-08-16	2015.3	1908-01-01
Bjerggårdsvænget 17	2840 Holte	49e5	175	28e3	4	2015-08-13	2015.3	1976-01-01
Rønnebærvej 116	2840 Holte	655e4	149	43960	6	2015-08-11	2015.3	1934-01-01
Stevnsbovej 10	2840 Holte	77e5	180	42778	6	2015-08-11	2015.3	1957-01-01
Egebækvej 41	2840 Holte	31e5	94	32979	4	2015-08-09	2015.3	1957-01-01
Nordre Paradisvej 38	2840 Holte	375e4	131	28626	5	2015-08-09	2015.3	1964-01-01
Attemosevej 3	2840 Holte	3995e3	151	26457	6	2015-08-04	2015.3	1949-01-01
Paradisbakken 20	2840 Holte	6466277	196	32991	6	2015-08-03	2015.3	1961-01-01
Tesch Alle 14	2840 Holte	17325e3	149	116275	5	2015-08-01	2015.3	1948-01-01
Granstuevej 24	2840 Holte	61e5	143	42657	5	2015-07-29	2015.3	1967-01-01
Frederikslundsvej 24B	2840 Holte	5e6	115	43478	5	2015-07-25	2015.3	1954-01-01
Skovmindevej 17	2840 Holte	9e6	324	27778	7	2015-07-24	2015.3	2016-01-01
Attemosevej 49	2840 Holte	128e5	264	48485	7	2015-07-20	2015.3	2005-01-01
Birkebakken 33	2840 Holte	56e5	190	29474	7	2015-07-20	2015.3	1923-01-01
Østre Paradisvej 16	2840 Holte	68e5	152	44737	6	2015-07-19	2015.3	2012-01-01
Skovlybakken 9	2840 Holte	3721e3	135	27563	6	2015-07-16	2015.3	1963-01-01
Kong Valdemars Vej 33	2840 Holte	6e6	168	35714	7	2015-07-03	2015.3	1907-01-01
Skovlybakken 3	2840 Holte	56e5	158	35443	5	2015-07-03	2015.3	1963-01-01
Mothsvej 76	2840 Holte	42e5	180	23333	6	2015-06-29	2015.2	1919-01-01
Kongevejen 361	2840 Holte	345e4	136	25368	6	2015-06-23	2015.2	1972-01-01
Paradishegnet 27	2840 Holte	465e4	153	30392	5	2015-06-12	2015.2	1985-01-01
Fyrresvinget 20	2840 Holte	63e5	212	29717	6	2015-06-11	2015.2	1963-01-01
Dronninggårds Alle 44A	2840 Holte	145e5	250	58e3	8	2015-06-11	2015.2	1936-01-01
Kikhanebakken 32	2840 Holte	475e4	178	26685	5	2015-06-09	2015.2	1972-01-01
Øverødvej 55	2840 Holte	565e4	233	24249	6	2015-06-07	2015.2	1906-01-01
Højleddet 14	2840 Holte	4675e3	159	29403	6	2015-06-04	2015.2	1974-01-01
Mothsvej 58A	2840 Holte	37e5	206	17961	5	2015-06-03	2015.2	2016-01-01
Rudersdalsvej 60	2840 Holte	67e5	148	45270	6	2015-06-03	2015.2	1913-01-01
Vidnæsdal 21	2840 Holte	6e6	264	22727	8	2015-06-01	2015.2	1961-01-01
Vængestien 3	2840 Holte	455e4	142	32042	5	2015-05-29	2015.2	1960-01-01
Vestre Paradisvej 44	2840 Holte	63e5	150	42e3	6	2015-05-29	2015.2	2013-01-01
Valdkær 9	2840 Holte	44e5	154	28571	8	2015-05-28	2015.2	1960-01-01
Søbakkevej 16B	2840 Holte	81e5	114	71053	6	2015-05-27	2015.2	1951-01-01
Gammel Holtevej 55	2840 Holte	39e5	133	29323	5	2015-05-27	2015.2	1923-01-01
Rudersdalsvej 56A	2840 Holte	4995e3	154	32435	5	2015-05-27	2015.2	1954-01-01
Hanne Nielsens Vej 6	2840 Holte	295e4	156	18910	4	2015-05-27	2015.2	2016-01-01
Græsdammen 5	2840 Holte	77e5	340	22647	8	2015-05-26	2015.2	1974-01-01
Vasevej 8B	2840 Holte	485e4	182	26648	4	2015-05-25	2015.2	1974-01-01
Nøddegangen 9	2840 Holte	735e4	225	32667	7	2015-05-21	2015.2	1956-01-01
Rudegårds Alle 12A	2840 Holte	71e5	198	35859	6	2015-05-21	2015.2	1918-01-01
Morlenesvej 22	2840 Holte	103e5	294	35034	7	2015-05-20	2015.2	1927-01-01
Borgm.Schneiders Vej 53	2840 Holte	628e4	176	35682	8	2015-05-20	2015.2	1966-01-01
Havrevænget 9	2840 Holte	455e4	169	26923	6	2015-05-19	2015.2	1968-01-01
Malmmosevej 11	2840 Holte	75e5	110	68182	6	2015-05-18	2015.2	1952-01-01
Dronninggårds Alle 63	2840 Holte	169e5	278	60791	5	2015-05-14	2015.2	1905-01-01
De Conincks Vej 15	2840 Holte	1755e4	329	53343	11	2015-05-13	2015.2	1972-01-01
Borgm.Schneiders Vej 51	2840 Holte	69e5	179	38547	6	2015-05-12	2015.2	1961-01-01
Vejdammen 96	2840 Holte	265e4	144	18403	5	2015-05-12	2015.2	1970-01-01
Vejlemosevej 14B	2840 Holte	595e4	162	36728	5	2015-05-11	2015.2	1965-01-01
Søbrinken 6	2840 Holte	183e5	167	109581	4	2015-05-11	2015.2	1959-01-01
Vestre Paradisvej 157	2840 Holte	661e4	179	36927	6	2015-05-06	2015.2	1982-01-01
Frederikslundsvej 35	2840 Holte	875e4	161	54348	6	2015-05-06	2015.2	1925-01-01
Kong Valdemars Vej 22A	2840 Holte	52e5	180	28889	5	2015-04-30	2015.2	1982-01-01
Carlsmindevej 22	2840 Holte	84e5	260	32308	7	2015-04-28	2015.2	1946-01-01
Øverødvej 106	2840 Holte	51e5	208	24519	7	2015-04-28	2015.2	1961-01-01
Søndre Paradisvej 21	2840 Holte	2735e3	166	16476	5	2015-04-27	2015.2	2016-01-01
Poppel Alle 10	2840 Holte	785e4	154	50974	6	2015-04-21	2015.2	1911-01-01
Rudegårds Alle 8	2840 Holte	62e5	212	29245	7	2015-04-21	2015.2	1917-01-01
Vejlevangen 5	2840 Holte	45e5	106	42453	5	2015-04-17	2015.2	1952-01-01
Sydskrænten 15	2840 Holte	48e5	163	29448	7	2015-04-16	2015.2	1957-01-01
Skovmindevej 15	2840 Holte	1025e4	145	70690	4	2015-04-14	2015.2	1965-01-01
Borgm.Schneiders Vej 73	2840 Holte	4795e3	167	28713	5	2015-04-13	2015.2	1961-01-01
Skovlybakken 21	2840 Holte	5225e3	176	29688	8	2015-04-12	2015.2	1962-01-01
Søbakkevej 17	2840 Holte	485e4	174	27874	7	2015-04-08	2015.2	1957-01-01
Dronninggårds Alle 107	2840 Holte	9e6	204	44118	6	2015-04-07	2015.2	1935-01-01
Skovmindevej 21	2840 Holte	134e5	251	53386	7	2015-04-06	2015.2	1918-01-01
Trendetoften 9	2840 Holte	375e4	128	29297	5	2015-03-25	2015.1	1958-01-01
Rudehøj Park 1	2840 Holte	35e5	115	30435	4	2015-03-22	2015.1	1995-01-01
Skodsborgvej 134	2840 Holte	395e4	140	28214	4	2015-03-19	2015.1	1961-01-01
Morlenesvej 6	2840 Holte	7275e3	282	25798	11	2015-03-18	2015.1	1927-01-01
Vejlegårdsvej 4	2840 Holte	525e4	182	28846	5	2015-03-17	2015.1	1961-01-01
Søbakkevej 15	2840 Holte	8995e3	218	41261	6	2015-03-17	2015.1	1932-01-01
Nordre Paradisvej 5B	2840 Holte	54e5	198	27273	6	2015-03-16	2015.1	1955-01-01
Højleddet 21	2840 Holte	5e6	234	21368	6	2015-03-12	2015.1	1994-01-01
Bøgholmen 18	2840 Holte	59e5	164	35976	5	2015-03-12	2015.1	1963-01-01
Borgm.Schneiders Vej 34	2840 Holte	41e5	145	28276	5	2015-03-11	2015.1	1963-01-01
Rønnebærvej 121	2840 Holte	43e5	126	34127	5	2015-03-11	2015.1	1962-01-01
Margrethevej 28	2840 Holte	62e5	175	35429	7	2015-03-09	2015.1	1929-01-01
Dronninggårds Alle 115	2840 Holte	8675e3	212	40920	8	2015-03-08	2015.1	1948-01-01
Søllerødvej 17	2840 Holte	35e5	153	22876	6	2015-03-05	2015.1	1827-01-01
Skovgærdet 14	2840 Holte	5e6	161	31056	6	2015-03-05	2015.1	1983-01-01
Vangebovej 6	2840 Holte	63e5	150	42e3	4	2015-03-04	2015.1	1955-01-01
