street	city	price	sqms	sqmp	rooms	dos	qos	yoc	lon	lat
Østre Paradisvej 37	2840 Holte	595e4	128	46484	4	2017-04-17	2017.2	1920-01-01	12.484473	55.821164
Ørnebakken 43	2840 Holte	3e6	179	16760	6	2017-03-29	2017.1	1975-01-01	12.518088	55.82535799999999
Skovlybakken 18	2840 Holte	3e6	192	15625	7	2017-03-27	2017.1	1964-01-01	12.491747	55.82196399999999
Skovmindevej 41	2840 Holte	101e5	263	38403	6	2017-03-26	2017.1	1947-01-01	12.449502	55.806982
Rudersdalsvej 25	2840 Holte	405e4	196	20663	6	2017-03-26	2017.1	1948-01-01	12.471449	55.819464
Vidnæsdal 16	2840 Holte	49e5	207	23671	6	2017-03-17	2017.1	1966-01-01	12.506427	55.838126
Vangebovej 73	2840 Holte	4295e3	120	35792	5	2017-03-12	2017.1	1956-01-01	12.5072391	55.80989959999999
Øverød Vænge 1	2840 Holte	7e6	215	32558	7	2017-02-28	2017.1	1937-01-01	12.483737	55.815439
Gammel Holtevej 110B	2840 Holte	2465477	254	9707	7	2017-02-27	2017.1	1970-01-01	12.503798	55.83891200000001
Bakkefaldet 10	2840 Holte	35e5	167	20958	5	2017-02-24	2017.1	1980-01-01	12.503106	55.84046
Pile Alle 45	2840 Holte	46e5	105	43810	4	2017-02-23	2017.1	1946-01-01	12.4757269	55.818022
Geelsmark 1B	2840 Holte	423e4	109	38807	4	2017-02-23	2017.1	1903-01-01	12.460449	55.80351
Gammel Holtevej 115B	2840 Holte	565e4	189	29894	5	2017-02-20	2017.1	1979-01-01	12.500854	55.83887000000001
Vidnæsdal 18	2840 Holte	45e5	175	25714	4	2017-02-17	2017.1	1967-01-01	12.506208	55.83835699999999
Vejlemosevej 32	2840 Holte	535e4	156	34295	5	2017-02-16	2017.1	1957-01-01	12.450599	55.80152099999999
Borgm.Schneiders Vej 69	2840 Holte	485e4	140	34643	6	2017-02-12	2017.1	1962-01-01	12.488439	55.826212
Annasvej 4	2840 Holte	102e5	329	31003	10	2017-02-10	2017.1	1907-01-01	12.472521	55.81466
Havrevænget 27	2840 Holte	34e5	137	24818	4	2017-02-06	2017.1	1971-01-01	12.513863	55.838193
Solvej 8A	2840 Holte	86e5	246	34959	5	2017-02-06	2017.1	1980-01-01	12.4915946	55.8103245
Tofteåsen 34	2840 Holte	4625e3	175	26429	6	2017-02-05	2017.1	1974-01-01	12.5083706	55.8426428
Kildeåsen 8	2840 Holte	495e4	162	30556	4	2017-02-04	2017.1	1980-01-01	12.5113055	55.8382803
Kongevejen 445B	2840 Holte	425e4	161	26398	6	2017-02-03	2017.1	1904-01-01	12.4618816	55.8254332
Tjørnehøj 6	2840 Holte	5505e3	218	25252	5	2017-01-17	2017.1	1967-01-01	12.4859082	55.8249369
Grünersvej 30	2840 Holte	585e4	103	56796	6	2017-01-10	2017.1	1935-01-01	12.474769	55.817833
Ernst Bojesens Vej 12	2840 Holte	5837500	194	30090	7	2017-01-09	2017.1	1907-01-01	12.468498	55.813775
Kikhanebakken 24	2840 Holte	395e4	170	23235	4	2017-01-06	2017.1	1972-01-01	12.5196646	55.8262997
Havrevænget 13	2840 Holte	475e4	172	27616	5	2017-01-04	2017.1	1968-01-01	12.511017	55.83728499999999
