street	city	price	sqms	sqmp	rooms	dos	qos	yoc	lon	lat
Grünersvej 32	2840 Holte	7825e3	214	36565	5	2016-12-27	2016.4	1946-01-01	12.474843	55.81812799999999
Højleddet 27	2840 Holte	45e5	168	26786	6	2016-12-22	2016.4	1972-01-01	12.50758	55.83743699999999
Vestre Paradisvej 19A	2840 Holte	6e6	188	31915	5	2016-12-22	2016.4	1937-01-01	12.480508	55.816655
Søllerødgårdsvej 31	2840 Holte	76e5	199	38191	5	2016-12-14	2016.4	1965-01-01	12.505511	55.812338
Kikhanebakken 42	2840 Holte	4375e3	140	31250	4	2016-12-12	2016.4	1971-01-01	12.519242	55.82556049999999
Kongevejen 477A	2840 Holte	41e5	169	24260	5	2016-12-09	2016.4	1988-01-01	12.459522	55.828127
Vejdammen 82	2840 Holte	295e4	155	19032	5	2016-12-08	2016.4	1972-01-01	12.511369	55.841006
Østre Paradisvej 81	2840 Holte	46e5	160	28750	6	2016-11-28	2016.4	1964-01-01	12.4847801	55.82531789999999
Skodsborgvej 150	2840 Holte	64e5	192	33333	5	2016-11-25	2016.4	1902-01-01	12.5064175	55.80574619999999
Øverødvej 47A	2840 Holte	725e4	183	39617	5	2016-11-25	2016.4	1985-01-01	12.4798259	55.814921
Valdkær 16	2840 Holte	66e5	110	6e4	3	2016-11-25	2016.4	1959-01-01	12.479555	55.819928
Højleddet 59	2840 Holte	41e5	234	17521	6	2016-11-25	2016.4	1974-01-01	12.5090104	55.8412394
Højbjerggårdsvej 21	2840 Holte	679e4	205	33122	6	2016-11-24	2016.4	1970-01-01	12.494058	55.8255559
Attemosevej 162	2840 Holte	875e4	659	13278	12	2016-11-22	2016.4	1877-01-01	12.5161823	55.8278019
Kongevejen 367	2840 Holte	5495e3	172	31948	4	2016-11-15	2016.4	1923-01-01	12.4683928	55.8168035
Østre Paradisvej 74	2840 Holte	62e5	151	41060	5	2016-11-15	2016.4	1959-01-01	12.484636	55.822984
Højbjerg Vang 13	2840 Holte	565e4	178	31742	7	2016-11-09	2016.4	1986-01-01	12.4908333	55.8260377
Højbjerg Vang 11	2840 Holte	43e5	143	30070	4	2016-11-07	2016.4	1986-01-01	12.490358	55.825708
Elverbo 11	2840 Holte	46e5	177	25989	5	2016-11-04	2016.4	1964-01-01	12.483633	55.826591
Malerbakken 13	2840 Holte	475e4	104	45673	4	2016-11-02	2016.4	1956-01-01	12.493803	55.817644
Geelsmark 20	2840 Holte	82e5	220	37273	6	2016-11-02	2016.4	1962-01-01	12.459263	55.802923
Lyngbakkevej 2B	2840 Holte	7e6	241	29046	8	2016-11-01	2016.4	1963-01-01	12.5096429	55.8145634
Arnevangen 33	2840 Holte	4685e3	144	32535	5	2016-11-01	2016.4	1960-01-01	12.5049569	55.810899
Rudegårds Alle 20B	2840 Holte	575e4	210	27381	6	2016-10-30	2016.4	1981-01-01	12.457348	55.824519
Fredskovvej 8	2840 Holte	5e6	167	29940	7	2016-10-29	2016.4	1931-01-01	12.4606169	55.813314
Vejlesøvej 23	2840 Holte	95e5	240	39583	7	2016-10-28	2016.4	1935-01-01	12.460188	55.804344
Skovskellet 39A	2840 Holte	495e4	116	42672	3	2016-10-27	2016.4	1955-01-01	12.499936	55.806218200000004
Mothsvej 74	2840 Holte	63e5	175	36e3	5	2016-10-26	2016.4	1935-01-01	12.5020345	55.8049368
Kastanievej 27	2840 Holte	535e4	146	36644	5	2016-10-15	2016.4	1973-01-01	12.472304	55.820106
Skovskellet 19	2840 Holte	92e5	239	38494	8	2016-10-14	2016.4	1923-01-01	12.4985921	55.8093631
Vejdammen 50	2840 Holte	2995e3	166	18042	5	2016-10-12	2016.4	1970-01-01	12.514644	55.838341
Rudersdalsvej 65	2840 Holte	795e4	216	36806	6	2016-10-06	2016.4	2008-01-01	12.482527	55.818513
Bjerggårdsvænget 25	2840 Holte	5495e3	171	32135	6	2016-09-30	2016.3	1948-01-01	12.5052573	55.8418199
Trendetoften 1	2840 Holte	375e4	139	26978	4	2016-09-27	2016.3	1955-01-01	12.4927355	55.8184299
Østre Paradisvej 55	2840 Holte	3995e3	131	30496	4	2016-09-27	2016.3	1965-01-01	12.484215	55.822565
Søbakkevej 35	2840 Holte	39e5	132	29545	5	2016-09-26	2016.3	1727-01-01	12.4939608	55.815465
Rudersdalsvej 74	2840 Holte	5695e3	156	36506	5	2016-09-25	2016.3	1929-01-01	12.4821926	55.8179956
Rudersdalsvej 20	2840 Holte	83e5	205	40488	6	2016-09-23	2016.3	1955-01-01	12.4713049	55.818929
Egebækvej 39	2840 Holte	41e5	127	32283	4	2016-09-22	2016.3	1956-01-01	12.523414	55.827552
Borgm.Schneiders Vej 32	2840 Holte	43e5	156	27564	6	2016-09-09	2016.3	1963-01-01	12.490202	55.822368
Skodsborgvej 132	2840 Holte	71e5	286	24825	8	2016-09-09	2016.3	1971-01-01	12.503594	55.804346
Gl.Holte Gade 31	2840 Holte	5995e3	182	32940	5	2016-09-07	2016.3	1800-01-01	12.5154597	55.83335539999999
Søllerødgårdsvej 42	2840 Holte	64e5	124	51613	4	2016-08-24	2016.3	1956-01-01	12.506766	55.8115508
Borgm.Schneiders Vej 16	2840 Holte	3375e3	112	30134	4	2016-08-22	2016.3	1963-01-01	12.4907178	55.8208084
Attemosevej 17	2840 Holte	68e5	217	31336	6	2016-08-19	2016.3	1973-01-01	12.5087661	55.8117319
Landsebakken 1	2840 Holte	53e5	175	30286	5	2016-08-17	2016.3	1920-01-01	12.469989	55.819748
Ved Næsseskoven 10	2840 Holte	15e6	206	72816	4	2016-08-17	2016.3	1963-01-01	12.4442302	55.8056731
Vejdammen 16	2840 Holte	44e5	154	28571	7	2016-08-11	2016.3	1956-01-01	12.51387	55.836142
Krogholmen 5	2840 Holte	15125e3	213	71009	6	2016-08-10	2016.3	1954-01-01	12.445651	55.805977
Birkebakken 37	2840 Holte	96e5	238	40336	7	2016-08-10	2016.3	2015-01-01	12.4600498	55.81802980000001
Havrevænget 7	2840 Holte	465e4	167	27844	4	2016-08-01	2016.3	1967-01-01	12.510678	55.83671
Kikhanebakken 66	2840 Holte	435e4	178	24438	6	2016-07-28	2016.3	1973-01-01	12.5201726	55.824891
Paradishegnet 14	2840 Holte	3e6	133	22556	5	2016-07-27	2016.3	1960-01-01	12.478187	55.821953
Kongevejen 428	2840 Holte	34e5	87	39080	3	2016-07-26	2016.3	1939-01-01	12.4662663	55.821285
Vidnæsdal 33B	2840 Holte	675e4	268	25187	7	2016-07-22	2016.3	1967-01-01	12.505361	55.839416
Skovmindevej 1	2840 Holte	8e6	184	43478	6	2016-07-19	2016.3	1959-01-01	12.45766	55.808066
Rudersdalsvej 63	2840 Holte	425e4	150	28333	5	2016-07-15	2016.3	1957-01-01	12.4822806	55.8183531
Mothsvej 57	2840 Holte	45e5	160	28125	4	2016-07-14	2016.3	1970-01-01	12.501578	55.80748699999999
Geelsmark 24	2840 Holte	3320450	198	16770	6	2016-07-07	2016.3	1958-01-01	12.459222	55.802456
Ørnebakken 31	2840 Holte	5995e3	188	31888	6	2016-07-05	2016.3	1974-01-01	12.5173673	55.825774
Kollemosevej 29A	2840 Holte	685e4	158	43354	5	2016-07-05	2016.3	1930-01-01	12.4579419	55.800271
Hyldehøj 10	2840 Holte	56e5	152	36842	4	2016-06-29	2016.2	1963-01-01	12.482786	55.824988
Dronninggårds Alle 121	2840 Holte	89e5	170	52353	6	2016-06-29	2016.2	1939-01-01	12.4443324	55.8066311
Borgm.Schneiders Vej 88	2840 Holte	515e4	206	25e3	6	2016-06-28	2016.2	1961-01-01	12.4848351	55.82734379999999
Skovlybakken 23	2840 Holte	475e4	166	28614	6	2016-06-23	2016.2	1961-01-01	12.4911206	55.8220557
Borgm.Schneiders Vej 45	2840 Holte	36e5	122	29508	6	2016-06-23	2016.2	1965-01-01	12.489075	55.823865
Fredskovvej 13	2840 Holte	105e5	224	46875	6	2016-06-23	2016.2	1971-01-01	12.460468	55.812821
Rudekæret 13	2840 Holte	54e5	157	34395	6	2016-06-21	2016.2	1961-01-01	12.4684429	55.8215811
Rudeskrænten 1	2840 Holte	5475e3	228	24013	6	2016-06-21	2016.2	1968-01-01	12.457915	55.825331
Egebækvej 43	2840 Holte	5225e3	149	35067	6	2016-06-16	2016.2	2012-01-01	12.523709	55.82799300000001
Rønnebærvej 45	2840 Holte	97e5	233	41631	7	2016-06-08	2016.2	2013-01-01	12.463512	55.81606499999999
Skovmindevej 35	2840 Holte	14e6	246	56911	7	2016-06-03	2016.2	1926-01-01	12.4508234	55.80708199999999
Frederikslundsvej 2	2840 Holte	79e5	235	33617	7	2016-05-29	2016.2	1767-01-01	12.467153	55.812833
Pile Alle 8	2840 Holte	755e4	172	43895	5	2016-05-27	2016.2	1957-01-01	12.477536	55.813951
Paradisvænget 2	2840 Holte	5125e3	181	28315	6	2016-05-26	2016.2	1925-01-01	12.48335	55.827534
Gammel Holtevej 100B	2840 Holte	43e5	195	22051	6	2016-05-25	2016.2	1970-01-01	12.504201	55.837363
Søllerødlund 1	2840 Holte	47e5	163	28834	5	2016-05-25	2016.2	1970-01-01	NA	NA
Højbjerggårdsvej 29	2840 Holte	57e5	150	38e3	5	2016-05-25	2016.2	1985-01-01	12.4937787	55.8265448
Mothsvej 54	2840 Holte	6e6	192	31250	7	2016-05-24	2016.2	1929-01-01	12.500771	55.807213
Attemosevej 47	2840 Holte	146e5	242	60331	7	2016-05-23	2016.2	2005-01-01	12.506738	55.814974
Gl.Holte Gade 50	2840 Holte	82e5	178	46067	5	2016-05-22	2016.2	1877-01-01	12.515062	55.834661
Gl.Holte Gade 32B	2840 Holte	355e4	134	26493	5	2016-05-19	2016.2	1971-01-01	12.5164373	55.83316929999999
Rønnebærvej 41	2840 Holte	9995e3	185	54027	6	2016-05-19	2016.2	1926-01-01	12.4644137	55.815755
De Conincks Vej 3B	2840 Holte	114e5	236	48305	6	2016-05-15	2016.2	2004-01-01	12.461177	55.809729
Morlenesvej 40	2840 Holte	63e5	176	35795	6	2016-05-13	2016.2	1970-01-01	12.475508	55.815025
Østre Paradisvej 50	2840 Holte	42e5	146	28767	4	2016-05-13	2016.2	1930-01-01	12.4852	55.82073
Malmmosevej 2	2840 Holte	72e5	213	33803	9	2016-05-13	2016.2	1907-01-01	12.462702	55.801558
Frederik Clausens Vænge 23	2840 Holte	38e5	91	41758	4	2016-05-12	2016.2	1964-01-01	12.4944597	55.8221873
Kirsebær Alle 7	2840 Holte	386e4	95	40632	4	2016-05-10	2016.2	1935-01-01	12.479725	55.8154
Bakkeåsen 14	2840 Holte	475e4	189	25132	5	2016-05-08	2016.2	1969-01-01	12.502	55.84184
Rudekæret 10	2840 Holte	6095e3	179	34050	6	2016-05-04	2016.2	1962-01-01	12.4679629	55.8212179
Poppel Alle 4	2840 Holte	53e5	155	34194	6	2016-05-04	2016.2	1905-01-01	12.477394	55.814324
Kikhanebakken 58	2840 Holte	476e4	166	28675	4	2016-05-03	2016.2	1973-01-01	12.519725	55.825275
Dronninggårds Alle 119	2840 Holte	1475e4	274	53832	9	2016-05-03	2016.2	1956-01-01	12.4448001	55.80670019999999
Kurvestykket 8	2840 Holte	39e5	158	24684	4	2016-05-01	2016.2	1973-01-01	12.508016	55.84191999999999
Skodsborgvej 146B	2840 Holte	585e4	163	35890	4	2016-04-29	2016.2	1976-01-01	12.506174	55.805333
Kastanievej 15	2840 Holte	66e5	163	40491	5	2016-04-29	2016.2	1936-01-01	12.4715847	55.8187155
Borgm.Schneiders Vej 58	2840 Holte	445e4	129	34496	5	2016-04-25	2016.2	1963-01-01	12.489503	55.8256836
Toftevej 12	2840 Holte	68e5	210	32381	8	2016-04-23	2016.2	1949-01-01	12.4653759	55.817982
Skodsborgvej 152A	2840 Holte	5925e3	279	21237	6	2016-04-19	2016.2	1978-01-01	12.507329	55.80557
Tofteåsen 30	2840 Holte	4867500	237	20538	6	2016-04-14	2016.2	1972-01-01	12.5081399	55.842231
Kastanievej 38	2840 Holte	4595e3	124	37056	3	2016-04-12	2016.2	1950-01-01	12.4728359	55.820163
Vejdammen 4	2840 Holte	49e5	189	25926	7	2016-04-08	2016.2	1968-01-01	12.511638	55.836197
Skovly Mark 34	2840 Holte	685e4	189	36243	5	2016-04-06	2016.2	1965-01-01	12.4927385	55.8225294
Rønnebærvej 69A	2840 Holte	6495e3	202	32153	8	2016-04-01	2016.2	1935-01-01	12.459662	55.818565
Gammel Holtevej 82B	2840 Holte	315e4	180	17500	4	2016-03-18	2016.1	2017-01-01	12.507547	55.836188
Dronninggårds Alle 112	2840 Holte	378e5	416	90865	7	2016-03-18	2016.1	2008-01-01	12.4458822	55.80727169999999
Mothsvej 49	2840 Holte	78e5	212	36792	6	2016-03-15	2016.1	2010-01-01	12.500955	55.80859049999999
Rudesøvej 5A	2840 Holte	4177e3	100	41770	4	2016-03-07	2016.1	1922-01-01	12.466576	55.824286
Østre Paradisvej 12B	2840 Holte	5e6	235	21277	8	2016-02-29	2016.1	1971-01-01	12.486176	55.81824700000001
Vestre Paradisvej 149	2840 Holte	443e4	157	28217	5	2016-02-23	2016.1	1976-01-01	12.479144	55.828373
Kastanievej 41	2840 Holte	47e5	149	31544	4	2016-02-17	2016.1	1955-01-01	12.471686	55.821058
Skovmindevej 4	2840 Holte	785e4	195	40256	5	2016-02-17	2016.1	1967-01-01	12.456873	55.808187
Vejdammen 21	2840 Holte	395e4	145	27241	5	2016-02-16	2016.1	1971-01-01	12.514483	55.83673599999999
Vejdammen 94	2840 Holte	2595e3	150	17300	5	2016-02-16	2016.1	1975-01-01	12.5101739	55.84211
Smutgærde 5	2840 Holte	74e5	182	40659	6	2016-02-15	2016.1	1985-01-01	12.51491	55.815819
Rudegårds Alle 20A	2840 Holte	525e4	156	33654	5	2016-02-15	2016.1	1978-01-01	12.457373	55.824977
Paradisvænget 12A	2840 Holte	62e5	223	27803	6	2016-02-11	2016.1	1971-01-01	12.483886	55.828886
Søvej 19	2840 Holte	6922e3	311	22257	11	2016-02-08	2016.1	1907-01-01	12.4836682	55.81194679999999
Rønnebærvej 136A	2840 Holte	56e5	217	25806	4	2016-02-08	2016.1	1954-01-01	12.458793	55.826034
Gl.Dronninggrd.Alle 3	2840 Holte	91e5	258	35271	9	2016-02-06	2016.1	1907-01-01	12.4671188	55.812323
Kong Valdemars Vej 64	2840 Holte	22e6	708	31073	14	2016-02-04	2016.1	1995-01-01	12.516827	55.81635799999999
Elverbo 8	2840 Holte	62e5	212	29245	7	2016-02-01	2016.1	1999-01-01	12.482051	55.825872
Østre Paradisvej 23A	2840 Holte	445e4	116	38362	4	2016-01-28	2016.1	1963-01-01	12.484028	55.819585
Parcelvej 10	2840 Holte	6975e3	162	43056	7	2016-01-27	2016.1	1924-01-01	12.44859	55.806424
Øverødvej 54	2840 Holte	495e4	155	31935	6	2016-01-18	2016.1	1928-01-01	12.483837	55.815841
Oksemosen 8	2840 Holte	46e5	173	26590	6	2016-01-17	2016.1	1968-01-01	12.4930447	55.8257971
Vestre Paradisvej 56	2840 Holte	505e4	147	34354	6	2016-01-17	2016.1	1957-01-01	12.481951	55.821901
Vestre Paradisvej 135	2840 Holte	545e4	147	37075	5	2016-01-10	2016.1	1962-01-01	12.479914	55.826445
Skovmindevej 38	2840 Holte	695e4	174	39943	6	2016-01-10	2016.1	1954-01-01	12.449809	55.807387
Rudersdalsvej 13	2840 Holte	535e4	169	31657	6	2015-12-27	2015.4	1964-01-01	12.46955	55.820381
Carlsmindevej 5	2840 Holte	125e5	362	34530	7	2015-12-22	2015.4	1939-01-01	12.494426	55.811764
Havrevænget 11	2840 Holte	54e5	162	33333	6	2015-12-22	2015.4	2006-01-01	12.5118449	55.8372874
Tofteåsen 3	2840 Holte	49e5	201	24378	6	2015-12-15	2015.4	1966-01-01	12.506707	55.83981799999999
Søllerødvej 80	2840 Holte	155e5	310	5e4	14	2015-12-15	2015.4	1914-01-01	12.504301	55.813092
Øverødvej 135	2840 Holte	4e6	136	29412	5	2015-12-13	2015.4	1947-01-01	12.495621	55.82046
Østre Paradisvej 15	2840 Holte	435e4	120	36250	4	2015-12-11	2015.4	1923-01-01	12.4849619	55.8188475
Tyrsbakke 6	2840 Holte	76e5	224	33929	7	2015-12-10	2015.4	1967-01-01	12.5108099	55.8109985
Kildeåsen 15	2840 Holte	53e5	177	29944	5	2015-12-06	2015.4	1971-01-01	12.5102433	55.83774380000001
Mothsvej 21	2840 Holte	785e4	243	32305	8	2015-12-05	2015.4	1924-01-01	12.4995534	55.81176850000001
Vejdammen 25	2840 Holte	204e4	200	10200	6	2015-12-04	2015.4	1988-01-01	12.514879	55.83687800000001
Skovlodden 22	2840 Holte	655e4	169	38757	7	2015-12-04	2015.4	1961-01-01	12.4640401	55.8211239
Morlenesvej 42	2840 Holte	675e4	205	32927	9	2015-11-30	2015.4	1906-01-01	12.475171	55.81518699999999
Højleddet 50	2840 Holte	4e6	179	22346	6	2015-11-29	2015.4	1972-01-01	12.509313	55.840364
Øverødvej 69	2840 Holte	5395e3	229	23559	8	2015-11-24	2015.4	1907-01-01	12.484621	55.816574
Søvej 7A	2840 Holte	185e5	385	48052	8	2015-11-23	2015.4	1972-01-01	12.480482	55.812079
Rudersdalsvej 64	2840 Holte	555e4	158	35127	5	2015-11-19	2015.4	1924-01-01	12.480331	55.818071
Rudehøj Park 2	2840 Holte	71e5	330	21515	9	2015-11-16	2015.4	1919-01-01	12.4612796	55.8260476
Norske Alle 1	2840 Holte	8e6	190	42105	6	2015-11-16	2015.4	1985-01-01	12.4572649	55.8091984
Dronninggårds Alle 117	2840 Holte	122e5	221	55204	7	2015-11-13	2015.4	1945-01-01	12.445336	55.806812
Vidnæsdal 31	2840 Holte	3e5	198	1515	8	2015-11-11	2015.4	1984-01-01	12.505337	55.83916439999999
Poppel Alle 13	2840 Holte	49e5	190	25789	7	2015-11-05	2015.4	1923-01-01	12.478001	55.816474
Søllerødvej 118	2840 Holte	4925e3	176	27983	6	2015-11-04	2015.4	1959-01-01	12.5016035	55.8096135
Paradisvænget 3A	2840 Holte	32e5	161	19876	5	2015-11-03	2015.4	1967-01-01	12.482144	55.827811
Dronninggårds Alle 48	2840 Holte	145e5	286	50699	5	2015-10-28	2015.4	2017-01-01	12.460384	55.81050699999999
Norske Alle 5	2840 Holte	76e5	230	33043	7	2015-10-28	2015.4	1899-01-01	12.4577449	55.808657
Vasevej 5B	2840 Holte	3995e3	175	22829	6	2015-10-28	2015.4	1966-01-01	12.459301	55.827081
Margrethevej 40	2840 Holte	4585e3	104	44087	4	2015-10-27	2015.4	1935-01-01	12.474613	55.816803
Kastanievej 5	2840 Holte	91e5	217	41935	6	2015-10-26	2015.4	1925-01-01	12.470561	55.817574
Borgm.Schneiders Vej 72	2840 Holte	4595e3	121	37975	4	2015-10-19	2015.4	1962-01-01	12.487827	55.827228
Paradiskrogen 3	2840 Holte	525e4	145	36207	7	2015-10-13	2015.4	1952-01-01	12.480408	55.822861
Birkebakken 10	2840 Holte	98e5	242	40496	6	2015-10-12	2015.4	1937-01-01	12.462608	55.81594699999999
Skovskellet 35A	2840 Holte	4775e3	163	29294	7	2015-10-11	2015.4	1961-01-01	12.499719	55.806875
Geelsvej 39	2840 Holte	155e5	312	49679	6	2015-10-05	2015.4	2015-01-01	12.461722	55.801846
Rønnebærvej 30	2840 Holte	795e4	198	40152	8	2015-09-29	2015.3	1916-01-01	12.466976	55.81461
Øverødvej 133	2840 Holte	36e5	111	32432	4	2015-09-25	2015.3	1946-01-01	12.495307	55.820344
Pindehuggervang 4	2840 Holte	352e4	121	29091	5	2015-09-25	2015.3	1960-01-01	12.47902	55.826992
Arnegårds Alle 16	2840 Holte	655e4	172	38081	5	2015-09-22	2015.3	1959-01-01	12.5041405	55.8113098
Skodsborgvej 140	2840 Holte	665e4	218	30505	6	2015-09-20	2015.3	1971-01-01	12.5052156	55.80483690000001
Dronninggårds Alle 52	2840 Holte	151e5	275	54909	9	2015-09-17	2015.3	1913-01-01	12.459493	55.81037
Carit Etlars Vej 4	2840 Holte	605e4	177	34181	6	2015-09-16	2015.3	1914-01-01	12.453758	55.807996
Trendetoften 5	2840 Holte	495e4	121	40909	4	2015-09-15	2015.3	1956-01-01	12.4929953	55.81828849999999
Rudørestien 8	2840 Holte	48e5	203	23645	7	2015-09-07	2015.3	1960-01-01	12.460364	55.825199
Elmevej 11	2840 Holte	585e4	165	35455	6	2015-09-06	2015.3	1936-01-01	12.471719	55.817479
Søholmen 3	2840 Holte	74e5	192	38542	5	2015-09-04	2015.3	1986-01-01	12.467535	55.822866
Malmmosevej 22	2840 Holte	795e4	155	51290	5	2015-09-01	2015.3	1931-01-01	12.458251	55.801773
Vejdammen 33	2840 Holte	3615e3	138	26196	5	2015-08-31	2015.3	1969-01-01	12.514759	55.837672
Arnegårds Alle 11	2840 Holte	75e5	239	31381	5	2015-08-26	2015.3	1931-01-01	12.5040566	55.81227879999999
Arnevangen 26	2840 Holte	146e5	299	48829	6	2015-08-26	2015.3	2014-01-01	12.5038272	55.810679
Pile Alle 29	2840 Holte	53e5	130	40769	5	2015-08-25	2015.3	1981-01-01	12.476143	55.816239
Vejdammen 79	2840 Holte	374e4	173	21618	5	2015-08-17	2015.3	1977-01-01	12.508359	55.84325
Rudegårds Alle 47	2840 Holte	72e5	167	43114	6	2015-08-16	2015.3	1908-01-01	12.45588	55.824174
Bjerggårdsvænget 17	2840 Holte	49e5	175	28e3	4	2015-08-13	2015.3	1976-01-01	12.503574	55.842101
Rønnebærvej 116	2840 Holte	655e4	149	43960	6	2015-08-11	2015.3	1934-01-01	12.458707	55.825075
Stevnsbovej 10	2840 Holte	77e5	180	42778	6	2015-08-11	2015.3	1957-01-01	12.5014597	55.80792049999999
Egebækvej 41	2840 Holte	31e5	94	32979	4	2015-08-09	2015.3	1957-01-01	12.523657	55.82759
Nordre Paradisvej 38	2840 Holte	375e4	131	28626	5	2015-08-09	2015.3	1964-01-01	12.4887198	55.8235755
Attemosevej 3	2840 Holte	3995e3	151	26457	6	2015-08-04	2015.3	1949-01-01	12.5092063	55.8102092
Paradisbakken 20	2840 Holte	6466277	196	32991	6	2015-08-03	2015.3	1961-01-01	12.4880344	55.82266929999999
Tesch Alle 14	2840 Holte	17325e3	149	116275	5	2015-08-01	2015.3	1948-01-01	12.45157	55.809424
Granstuevej 24	2840 Holte	61e5	143	42657	5	2015-07-29	2015.3	1967-01-01	12.4832968	55.8220612
Frederikslundsvej 24B	2840 Holte	5e6	115	43478	5	2015-07-25	2015.3	1954-01-01	12.46259	55.81467
Skovmindevej 17	2840 Holte	9e6	324	27778	7	2015-07-24	2015.3	2016-01-01	12.4540659	55.807142
Attemosevej 49	2840 Holte	128e5	264	48485	7	2015-07-20	2015.3	2005-01-01	12.50794	55.81502
Birkebakken 33	2840 Holte	56e5	190	29474	7	2015-07-20	2015.3	1923-01-01	12.459744	55.817871
Østre Paradisvej 16	2840 Holte	68e5	152	44737	6	2015-07-19	2015.3	2012-01-01	12.4857754	55.8184585
Skovlybakken 9	2840 Holte	3721e3	135	27563	6	2015-07-16	2015.3	1963-01-01	12.4920951	55.8207441
Kong Valdemars Vej 33	2840 Holte	6e6	168	35714	7	2015-07-03	2015.3	1907-01-01	12.515095	55.817154
Skovlybakken 3	2840 Holte	56e5	158	35443	5	2015-07-03	2015.3	1963-01-01	12.4926937	55.8201663
Mothsvej 76	2840 Holte	42e5	180	23333	6	2015-06-29	2015.2	1919-01-01	12.501749	55.804596
Kongevejen 361	2840 Holte	345e4	136	25368	6	2015-06-23	2015.2	1972-01-01	12.469117	55.81603560000001
Paradishegnet 27	2840 Holte	465e4	153	30392	5	2015-06-12	2015.2	1985-01-01	12.478487	55.820488
Fyrresvinget 20	2840 Holte	63e5	212	29717	6	2015-06-11	2015.2	1963-01-01	12.485902	55.829099
Dronninggårds Alle 44A	2840 Holte	145e5	250	58e3	8	2015-06-11	2015.2	1936-01-01	12.460891	55.81100499999999
Kikhanebakken 32	2840 Holte	475e4	178	26685	5	2015-06-09	2015.2	1972-01-01	12.5211879	55.82591439999999
Øverødvej 55	2840 Holte	565e4	233	24249	6	2015-06-07	2015.2	1906-01-01	12.4820608	55.8155424
Højleddet 14	2840 Holte	4675e3	159	29403	6	2015-06-04	2015.2	1974-01-01	12.509877	55.837228
Mothsvej 58A	2840 Holte	37e5	206	17961	5	2015-06-03	2015.2	2016-01-01	12.5006624	55.8066508
Rudersdalsvej 60	2840 Holte	67e5	148	45270	6	2015-06-03	2015.2	1913-01-01	12.4797294	55.8180637
